"value","age","MP","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PasTotCmp.","PasTotPrgDist","PasShoCmp","PasShoCmp.","PasMedAtt","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasDead","PasFK","TB","Sw","PasCrs","TI","CK","CkIn","CkStr","PasOff","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Blocks","BlkSh","Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","ToAtt","ToSuc","ToSuc.","ToTkl","ToTkl.","Carries","CarTotDist","CarProg","Car3rd","CPA","CarMis","CarDis","Rec","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","G.MP"
20,24,19,11.5,4,1.83,0.7,38.1,0.19,0.5,16.2,0.09,0,78.6,128.8,14.3,87.3,11.7,82.8,1.48,2.78,53.1,0.26,2.09,4.17,2.09,0.09,6.09,2.17,0.43,0.52,0.09,1.04,0.52,0.43,0,0,0.09,1.13,4.26,3.13,0.09,0.43,0.35,0.17,0.09,0.7,0.26,0,0.17,0.17,0,0.09,1.48,0.7,0.26,0.96,0.26,0,0.09,0,0.09,0.78,0,0.43,0.35,0,46.5,0.26,3.13,26.3,18.3,2.87,2.87,1.48,51.5,1.22,42.4,31.4,217.4,4,2.43,0.78,3.39,2.52,34.1,5.3,0.17,0,0,1.48,2.17,0.17,0,0,0,5.3,0.17,0.96,15.4,0.347826086956522
30,26,19,16.1,7,2.36,0.93,39.5,0.18,0.47,20.3,0.37,0,79.8,163.7,22.9,89.6,14.6,80.4,4.6,7.52,61.2,0.19,1.68,3.91,1.18,0.19,4.91,5.59,1.74,0.25,0.68,4.1,0.25,3.48,0.99,0,0.25,0.93,3.48,2.24,0.75,0.25,0.12,0.12,0,0.5,0.25,0.12,0.06,0.06,0,0,2.42,1.43,0.75,1.24,0.43,1.18,2.36,50,1.18,0.99,0.12,0.5,0.56,0.06,61.9,1.12,7.27,30.5,24.6,1.93,1.8,0.62,34.5,1.12,62.1,33.7,147,1.37,1.55,0.25,1.61,1.24,43.1,4.91,0.31,0,0,2.36,1.8,0.06,0,0,0,4.84,0.81,0.81,50,0.434782608695652
6,25,19,16.2,2,1.3,0.49,38.1,0.1,0.25,23.3,0,0,77.2,114.9,13.8,85.8,12.2,80.3,3.02,4.94,61.3,0.12,0.49,3.02,0.8,0.19,4.01,0.56,0.31,0.19,0.56,1.42,0.12,0,0,0,0.19,0.86,1.67,1.11,0,0,0.12,0.43,0,0.19,0.19,0,0,0,0,0,0.93,0.62,0.37,0.25,0.31,0.25,1.54,16,1.3,0.74,0.06,0.25,0.86,0,45.6,0.8,6.6,27.2,12.3,0.86,1.6,0.86,53.8,0.49,30.8,27.2,121.5,0.99,0.99,0.06,1.98,1.05,33.6,3.52,0.49,0,0,2.41,2.28,0.12,0,0,0,4.81,0.56,1.3,30,0.123456790123457
12,27,13,6.3,0,0.95,0.32,33.3,0,0,23.8,0,0,91.6,357.9,38.7,93.8,29,95.1,7.46,8.57,87,0.16,2.22,11.9,0.95,0.16,12.2,2.86,1.27,0,1.75,0.79,0.79,0.63,0,0,0.48,0.95,5.08,4.29,0.48,0.16,0,0.16,0,0.63,0.48,0,0,0,0.16,0,2.22,1.27,0.63,0.63,0.95,1.27,3.02,42.1,1.75,1.43,0.32,2.06,0.79,0,97.3,1.27,13.7,55.1,28.9,1.75,3.33,1.75,52.4,1.43,42.9,68.9,368.3,3.49,3.02,0.32,0.63,1.27,77,3.17,0.32,0,0,1.11,2.38,0,0,0,0,7.14,0.16,0.32,33.3,0
2.5,29,1,0.3,0,0,0,0,0,0,0,0,0,87.5,90,40,100,6.67,100,0,6.67,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,3.33,0,70,0,20,40,13.3,0,13.3,10,75,3.33,25,43.3,410,6.67,6.67,0,3.33,0,40,3.33,0,0,0,0,0,0,0,0,0,3.33,3.33,3.33,50,0
6,21,17,8.1,0,0.74,0,0,0,0,23.1,0,0,83.5,170.9,13.8,82.4,17.8,89.6,4.44,6.05,73.5,0,0.86,5.31,0.12,0,5.93,0.62,0.37,0,0.62,0.49,0.12,0.12,0,0,0,0.62,2.59,1.73,0.25,0,0.25,0.37,0,0.37,0.12,0,0,0,0.25,0,2.47,1.23,1.23,0.86,0.37,0.99,3.33,29.6,2.35,2.35,0.25,1.73,1.73,0,55.1,3.33,14.1,31.4,11,0.62,2.1,0.74,35.3,0.86,41.2,39.1,254.7,1.36,1.36,0.12,2.1,1.48,33.1,1.98,0.49,0.25,0.12,1.98,1.48,0,0.12,0,0,7.78,1.11,0.49,69.2,0
22,26,19,17,2,0.76,0.24,30.8,0.15,0.5,26.4,0,0,85,242.6,20.3,89.1,23.4,89.7,2.94,4.24,69.4,0,0.65,4.24,0.71,0.06,6.41,1.41,1.18,0.18,0.06,0.18,0.12,0,0,0,0.41,0.82,1.76,1.35,0,0.12,0.12,0.06,0.12,0.12,0.06,0,0.06,0,0,0,1.76,0.94,0.59,1.06,0.12,0.82,1.47,56,0.65,0.82,0.24,1.18,1,0,62.3,2.12,13.6,40.4,8.76,0.76,0.59,0.35,60,0.12,20,37.5,164.5,0.94,1.18,0.12,0.71,0.59,40.9,0.88,0.24,0,0,1.06,1.47,0,0,0,0,7.24,0.82,1.12,42.4,0.117647058823529
90,20,20,10.2,0,1.18,0.1,8.3,0,0,23.6,0,0,90.8,245.3,29.1,92.5,23,94,3.82,4.8,79.6,0.1,1.27,6.76,0.78,0.1,8.04,3.82,1.96,0.2,0.29,0.49,1.86,0,0,0,0.39,0.59,4.51,3.33,0,0.39,0.2,0.59,0,0.29,0.2,0,0,0,0.1,0,2.94,2.06,1.08,1.08,0.78,0.78,2.55,30.8,1.76,1.27,0.29,0.88,1.27,0,75.6,1.96,14.5,41,21.7,1.18,3.33,1.76,52.9,1.18,35.3,51.4,304.1,3.73,4.71,0.39,1.86,1.18,56.9,4.8,0.29,0,0,1.47,3.63,0.29,0,0,0,6.18,0.88,0.69,56.3,0
100,25,20,17,6,2.41,0.88,36.6,0.15,0.4,24.1,0.12,0,87.9,144.3,29,94.8,17.4,87.5,3.82,5.24,73,0.12,1.76,3.82,1.53,0.24,5.35,0.94,0.24,0.12,0.94,0.88,0.65,0,0,0,0.35,0.94,3.24,3.06,0,0.12,0.06,0,0,0.59,0.53,0,0.06,0,0,0,1.06,0.65,0.35,0.47,0.24,0.47,0.94,50,0.47,0.94,0.18,0.35,0.53,0,64.6,1.24,7.12,29.5,28.5,1.94,1.47,1.06,72,0.29,20,41.2,235,2.94,2.65,0.24,0.82,0.35,50.3,4.53,0.12,0,0,0.41,0.59,0.18,0,0,0,4.82,1,0.29,77.3,0.352941176470588
10,24,20,17.9,0,0.89,0.06,6.3,0,0,26.7,0,0,89.8,215.9,21.5,93.2,27.8,93.6,5.87,7.6,77.2,0.06,0.89,4.3,0.5,0.11,4.86,4.3,2.63,0,0.45,1.17,0.22,0.78,0.28,0,0.06,0.67,2.18,1.79,0.22,0,0.06,0,0.11,0.06,0,0,0,0,0,0.06,0.95,0.61,0.45,0.34,0.17,0.22,1.34,16.7,1.12,0.84,0.22,1.12,1.06,0.11,68.5,1.9,15,42.3,11.6,0.45,0.39,0.22,57.1,0.17,42.9,41.6,211.3,1.12,1.45,0.17,1.01,0.67,46.4,0.89,0.17,0,0,0.73,0.5,0.11,0,0,0,6.42,0.61,1.45,29.7,0
