"value","age","MP","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PasTotCmp.","PasTotPrgDist","PasShoCmp","PasShoCmp.","PasMedAtt","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasDead","PasFK","TB","Sw","PasCrs","TI","CK","CkIn","CkStr","PasOff","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Blocks","BlkSh","Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","ToAtt","ToSuc","ToSuc.","ToTkl","ToTkl.","Carries","CarTotDist","CarProg","Car3rd","CPA","CarMis","CarDis","Rec","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","G.MP"
12,25,20,13.6,0,1.76,0.37,20.8,0,0,24,0,0,82.5,254.3,16.6,89.3,19.4,88.6,5.74,8.82,65,0,0.66,5.81,0.66,0.22,5.81,2.35,1.76,0.07,1.1,1.62,0.29,0.22,0.15,0,0.22,0.66,2.21,1.76,0,0,0.37,0.07,0,0.22,0,0,0,0.15,0.07,0,1.76,1.1,0.96,0.66,0.15,0.74,1.62,45.5,0.88,0.81,0.07,0.37,1.1,0,57.2,2.06,13.1,32.8,11.8,0.66,0.07,0.07,100,0,0,31,130,0.74,0.59,0,1.18,0.29,37.8,1.91,0.22,0,0,1.47,0.44,0.15,0.07,0,0,6.32,0.59,0.59,50,0
150,20,19,18.8,4,2.07,0.74,35.9,0.1,0.29,16.8,0.11,0,80.9,254.6,19.6,85.6,19.9,86.1,5.32,7.66,69.4,0.21,1.06,5.8,1.49,0.11,9.04,1.49,0.96,0.32,0.9,1.01,0.48,0,0,0,0.27,0.9,3.88,2.82,0,0.32,0.32,0.37,0.05,0.53,0.43,0,0.05,0,0.05,0,2.93,1.54,1.06,1.28,0.59,1.33,1.65,80.6,0.32,2.02,0.16,1.28,1.06,0,71.2,1.6,12,39,21.3,3.51,4.95,2.45,49.5,1.44,29,45,261,3.03,1.97,0.9,2.55,2.13,52.5,4.41,0.27,0,0,1.17,2.77,0.05,0,0,0,7.71,1.38,1.06,56.5,0.212765957446809
4.5,26,19,14.9,0,1.68,0.47,28,0,0,23.4,0.07,0,76.1,184.2,18.1,84.6,16.9,82.5,5.17,8.39,61.6,0.07,0.94,4.16,0.54,0.13,5.23,4.23,2.28,0.2,1.34,2.62,0.94,0.94,0.54,0,0.54,1.41,2.62,2.08,0.2,0,0.27,0.07,0,0.13,0.07,0,0,0,0.07,0,2.21,1.01,0.87,1.14,0.2,0.54,2.28,23.5,1.74,0.94,0.2,0.81,0.94,0,62.1,2.15,13.8,33.2,16.6,2.01,2.42,1.01,41.7,1.07,44.4,36.6,224.3,2.35,1.54,0.4,1.74,1.14,40.9,2.95,0.27,0,0,1.81,2.48,0.2,0,0,0,6.91,1.34,1.14,54.1,0
16,31,16,12.5,0,0.48,0,0,0,0,15,0,0,84.4,237.5,29.8,93,18.3,85.6,3.92,6.56,59.8,0.16,1.04,4.72,0.64,0.16,5.36,2.16,1.68,0.24,0.32,1.2,0.24,0,0,0,0.56,0.88,2.32,2.24,0,0,0.08,0,0,0.16,0.16,0,0,0,0,0,2.16,1.44,0.88,1.12,0.16,0.8,1.84,43.5,1.04,1.12,0.48,0.56,0.72,0,70.5,2.16,15.5,44,11.2,1.04,0.72,0.24,33.3,0.4,55.6,37.8,124.7,0.48,0.96,0,1.28,0.64,51.2,1.68,0.24,0,0,0.96,1.52,0,0,0,0,6.16,0.64,0.64,50,0
3,25,11,3.9,0,0.77,0.26,33.3,0,0,18.2,0,0,84.1,86.2,20.3,91.9,10.5,90.2,1.79,3.08,58.3,0.51,0.77,3.59,1.03,0.26,4.36,0.51,0.51,0.26,0,1.03,0,0,0,0,0.26,0.77,2.05,2.05,0,0,0,0,0,0.77,0.77,0,0,0,0,0,2.82,1.54,1.28,1.28,0.26,1.03,2.05,50,1.03,1.28,0.26,0.26,0.26,0,51,0.51,7.69,24.6,19.5,2.05,0.77,0.26,33.3,0.51,66.7,35.1,205.1,3.33,2.82,0,2.05,1.79,35.4,5.9,0.26,0,0,2.31,0.77,0.26,0,0,0,7.18,0,2.56,0,0
7,26,20,16.5,1,1.39,0.3,21.7,0.04,0.2,24.6,0.18,0,76.6,201,15.3,87.8,13.5,84.8,4.61,8.91,51.7,0.18,1.76,3.45,1.33,0.55,4.67,4.06,1.82,0.36,0.48,4.36,0.18,2,0.79,0,0.24,0.61,3.7,2.48,0.85,0,0.12,0.18,0.06,0.36,0.24,0.12,0,0,0,0,1.58,1.03,0.55,0.67,0.36,0.73,1.82,40,1.09,1.64,0.24,1.52,1.15,0,53.6,1.27,9.82,29.5,15,1.33,2.12,0.73,34.3,0.91,42.9,27.6,133.2,1.21,1.45,0.12,1.58,0.42,34.6,3.58,0.3,0,0,1.45,2.67,0.18,0,0,0,6.36,0.73,1.27,36.4,0.0606060606060606
8,29,19,16.7,0,1.08,0.18,16.7,0,0,21.6,0,0,81.9,147.2,17.7,87,15,85.2,2.1,3.53,59.3,0,0.18,2.87,0,0,3.77,0.6,0.6,0,0.54,0.06,0,0,0,0,0,0.72,0.96,0.72,0,0,0.18,0.06,0,0,0,0,0,0,0,0,1.8,1.2,0.96,0.66,0.18,0.6,1.02,58.8,0.42,0.66,0.12,1.26,2.1,0,51,2.99,12.8,29.6,8.92,1.38,0.66,0.24,36.4,0.24,36.4,23.2,96.3,0.24,0.6,0,1.14,0.54,28.9,0.54,0.36,0,0,2.1,1.32,0,0,0,0,6.47,2.16,1.92,52.9,0
2.5,29,14,12.9,0,0.31,0.08,25,0,0,26.7,0,0,78,253.3,19.8,89.8,17.6,81.1,5.81,10.2,56.8,0,1.63,5.66,0.23,0.16,5.5,6.98,3.88,0.08,1.01,4.65,0,2.79,1.16,0,0.23,1.01,2.4,0.93,1.09,0.08,0,0.23,0.08,0,0,0,0,0,0,0,2.4,1.55,1.16,0.78,0.47,1.16,2.25,51.7,1.09,0.62,0,1.4,1.09,0.08,60.1,1.86,12.4,37.8,10.5,0.16,0.54,0.47,85.7,0.08,14.3,31.2,130.7,0.62,0.54,0.08,0.85,0.7,34.7,0.47,0.23,0.08,0.08,1.32,0.7,0.08,0,0.08,0,7.67,0.85,0.7,55,0
2.5,32,11,4.2,0,0.71,0.24,33.3,0,0,22.2,0,0,89.5,170.5,28.6,95.2,20.5,84.9,1.67,2.14,77.8,0,0.48,4.29,0.95,0,7.14,2.38,1.9,0,0,0.24,0.24,0.24,0.24,0,0,0.24,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0.95,1.19,0.48,0,0.71,2.62,27.3,1.9,0.71,0.24,0.48,0.48,0,60,1.9,6.67,36,17.6,0.71,0.24,0,0,0.24,100,33.8,126.7,0.95,0.48,0,0.48,1.43,49.5,2.86,0.48,0,0,1.43,1.67,0,0,0,0,2.86,0.24,1.43,14.3,0
10,26,20,16.2,1,0.93,0.37,40,0.07,0.17,21.8,0.06,0,76.8,267.9,21,86.1,18.7,80.5,3.33,6.98,47.8,0.06,1.05,6.67,0.68,0,7.1,2.72,1.6,0,0.43,2.28,0.19,0.86,0.49,0,0.19,0.8,1.54,1.17,0.25,0,0,0.06,0.06,0.12,0.06,0,0,0,0.06,0,2.53,1.67,0.86,1.54,0.12,0.68,2.04,33.3,1.36,1.3,0.43,1.17,0.93,0,64,1.91,13.8,37.7,12.9,1.11,0.99,0.68,68.8,0.31,31.3,35.2,157.3,0.99,0.86,0.25,0.93,0.74,40.4,0.93,0.25,0,0,1.23,0.93,0,0,0,0,6.05,0.8,0.62,56.5,0.0617283950617284
35,28,13,11.3,1,1.06,0.18,16.7,0.08,0.5,16.9,0,0,79.2,137.1,17.9,90.2,14.4,78.5,2.04,3.54,57.5,0,1.42,2.3,1.59,0.27,4.51,3.72,0,0.09,0.27,2.65,3.72,0,0,0,0.18,1.42,3.19,2.83,0.09,0,0.09,0.09,0.09,0.09,0.09,0,0,0,0,0,1.86,0.97,1.15,0.44,0.27,1.24,1.77,70,0.53,1.24,0,1.06,0.97,0,52,1.86,11.8,20.4,20.5,2.92,1.33,0.44,33.3,0.71,53.3,29.3,174.2,3.27,2.39,0.88,1.42,0.62,33.5,7.79,0.09,0,0,1.42,0.8,0.09,0,0,0,4.96,0.71,1.06,40,0.0884955752212389
40,24,19,17.8,1,0.28,0.11,40,0.2,0.5,19.1,0,0,84.2,251.1,20.4,89,23.5,89.5,3.03,4.94,61.4,0.11,0.51,4.94,0.51,0,5.45,1.63,1.4,0.17,0.28,0.11,0.11,0,0,0,0.28,0.62,1.29,1.24,0,0,0,0.06,0,0.22,0.22,0,0,0,0,0,1.97,1.07,0.67,1.07,0.22,0.73,1.29,56.5,0.56,1.24,0.51,0.96,1.85,0.17,61.3,3.31,16.9,38.5,6.57,0.51,0.56,0.22,40,0.17,30,37.1,192.3,1.12,0.73,0.06,0.67,0.51,42.5,0.62,0.34,0,0,1.63,0.84,0.06,0,0,0,6.18,2.19,0.9,70.9,0.0561797752808989
6,28,7,6.5,0,0.92,0,0,0,0,27.5,0.15,0,83,203.8,12.2,90.8,18.3,89.1,5.38,8.92,60.3,0.15,1.38,3.23,0.62,0.31,3.69,6.15,4.77,0,0.62,3.85,0,1.38,0.77,0.15,0,0.46,2,0.92,1.08,0,0,0,0,0.46,0.31,0.15,0,0,0,0,1.38,0.62,0.77,0.46,0.15,0.31,2,15.4,1.69,2,0.62,1.08,1.54,0,50,2.62,10.6,31.1,9.38,0.31,0.15,0.15,100,0,0,24.9,130.6,0.92,0.92,0,1.23,0.31,27.2,0.62,0.31,0.15,0.15,1.69,1.54,0,0,0,0,5.69,0.92,0.77,54.5,0
50,27,16,14.3,1,1.68,0.7,41.7,0.04,0.1,16.8,0,0,76.2,224.7,20.1,83.9,19.9,81.7,2.73,5.73,47.6,0.49,1.61,6.36,1.33,0.21,6.36,1.19,1.05,0.42,0.49,0.84,0.07,0.07,0,0,0.42,1.26,3.22,2.73,0.07,0.07,0.21,0,0.14,0.63,0.49,0,0,0.07,0,0.07,2.94,1.75,0.84,1.61,0.49,1.26,2.17,58.1,0.91,1.4,0.35,0.98,2.31,0,67,4.06,13.8,36.9,16.8,2.8,0.91,0.49,53.8,0.35,38.5,35.9,135,0.98,1.26,0.14,1.61,1.33,44.2,3.36,0.28,0,0,2.73,1.54,0.14,0,0,0,8.04,3.5,1.68,67.6,0.0699300699300699
6,30,20,16.5,2,0.73,0.06,8.3,0.08,1,24.6,0,0.06,82.4,253.3,20.1,85.8,20.3,87.8,5.52,7.39,74.6,0.12,0.97,7.15,0.79,0.18,7.39,0.24,0.24,0.12,0.85,0.36,0,0,0,0,0.36,0.61,2.12,1.94,0,0,0.06,0.06,0.06,0.24,0.12,0,0,0,0.06,0.06,1.82,0.97,0.55,1.03,0.24,0.85,2.55,33.3,1.7,1.15,0.24,1.27,1.45,0.06,63.9,2.24,11.5,40.2,12.7,0.85,0.36,0.12,33.3,0.24,66.7,35.9,156.6,0.79,1.03,0.12,1.58,0.73,41.8,1.15,0.18,0,0,1.52,0.73,0,0.06,0,0,7.15,2.18,1.64,57.1,0.121212121212121
15,30,13,8.7,2,2.18,0.46,21.1,0.05,0.25,20.9,0.8,0.11,78.5,129.5,20.9,87.5,9.54,84.3,1.84,5.06,36.4,0.23,2.18,3.22,1.26,0.11,4.02,5.98,2.41,0.11,0.23,4.48,0.23,3.22,1.26,0,0.23,0.8,5.4,2.99,1.03,0.34,0.11,0.92,0,0.57,0.23,0,0.11,0,0.23,0,0.92,0.34,0.34,0.23,0.34,0.23,0.69,33.3,0.46,0.57,0.11,0.11,0,0,56.4,0.11,3.45,24.4,29,4.25,4.02,1.49,37.1,1.72,42.9,37.2,218.4,4.14,2.18,1.49,3.22,2.07,45.7,6.32,0.46,0.11,0,1.95,3.91,0.8,0.11,0,0,2.76,0.8,1.03,43.8,0.229885057471264
30,23,21,15.7,8,2.04,0.7,34.4,0.22,0.64,18,0,0.06,83,106.9,16.8,90.1,10.7,85.1,1.59,2.17,73.5,0,1.34,3.06,0.89,0,5.1,0.76,0.45,0.13,0,0.38,0,0.13,0,0,0.38,0.64,2.87,2.42,0.06,0.06,0.19,0.13,0,0,0,0,0,0,0,0,0.96,0.51,0.06,0.64,0.25,0.32,1.21,26.3,0.89,0.45,0,0.19,0.32,0,45.2,0.64,4.08,23.1,18.9,2.8,2.42,1.27,52.6,0.83,34.2,30.3,189.9,3.25,2.23,0.57,2.8,2.1,34.3,5.29,0.13,0,0,1.4,2.04,0.06,0,0,0,5.61,0.83,0.64,56.5,0.509554140127389
6,28,19,15.6,3,1.03,0.26,25,0.19,0.75,17.1,0,0,79,166.3,21.4,87.9,15.4,79.2,4.74,7.12,66.7,0.06,1.41,4.68,1.15,0.38,6.35,1.73,0.71,0.32,0.96,2.44,0.45,0.38,0,0,0.45,0.9,2.88,2.24,0.13,0,0.19,0.19,0.13,0.26,0.19,0,0,0.06,0,0,1.6,1.03,0.64,0.45,0.51,0.83,2.12,39.4,1.28,1.15,0.19,0.45,0.38,0,59.2,0.32,6.92,28.1,24.9,2.05,1.92,0.64,33.3,0.77,40,41.5,180.9,1.54,1.92,0.26,1.22,2.31,45.7,6.79,0.06,0,0,0.9,2.05,0.32,0,0,0,5.96,0.19,0.71,21.4,0.192307692307692
5,32,17,17,1,0.94,0.18,18.8,0.06,0.33,17.8,0,0,86.8,203.1,19.7,92,19.7,90.7,4.53,6.41,70.6,0,0.65,3.71,0.53,0.12,4.53,1.59,1.47,0.12,0.41,0.65,0.12,0,0,0,0.24,0.47,1.41,1.24,0,0,0.06,0.06,0.06,0.06,0.06,0,0,0,0,0,2.47,1.47,1.29,0.88,0.29,0.76,1.47,52,0.71,1.47,0.41,1.12,1.06,0,60.1,2.24,16.5,34.8,9,1.29,0.47,0.47,100,0,0,34.9,136.4,0.41,1,0.06,0.88,0.71,41.8,0.71,0.29,0,0,2.06,0.65,0,0,0.06,0,5.41,1.06,1.12,48.6,0.0588235294117647
2.5,35,18,13.4,2,0.67,0.22,33.3,0.11,0.33,19.1,0,0.07,80.9,126.3,21.1,90.7,11.9,81.3,1.72,3.51,48.9,0.22,1.72,4.4,1.04,0.15,5,3.28,1.27,0.37,0.15,1.79,0.37,0.9,0.52,0,0.07,1.12,3.81,2.99,0.22,0.15,0.07,0.3,0.07,0.37,0.3,0.07,0,0,0,0,1.87,1.42,0.37,0.97,0.52,0.45,1.04,42.9,0.6,1.19,0.15,0.45,0.37,0,55.7,0.75,4.48,29.3,23.2,2.76,3.88,1.57,40.4,1.72,44.2,34.9,196,2.16,2.69,0.3,2.76,3.51,40.7,4.33,0.6,0,0,3.21,3.13,0.15,0,0,0,5.9,0.45,1.72,20.7,0.149253731343284
5,29,17,13.6,0,0.66,0,0,0,0,21.6,0,0,82.4,217.3,16,87.2,18.2,85.4,4.71,6.91,68.1,0,0.81,6.1,0.22,0.07,5.51,1.25,1.25,0.07,0.66,0.15,0,0,0,0,0.07,0.37,1.99,1.69,0,0,0.07,0.15,0.07,0.07,0.07,0,0,0,0,0,3.9,1.99,1.18,2.06,0.66,1.91,3.68,52,1.76,1.99,0.37,1.76,1.03,0,56.8,1.69,11,38.2,8.01,0.88,0.44,0.07,16.7,0.29,66.7,27.9,155.4,0.66,0.74,0,0.96,0.29,31.8,0.44,0.44,0,0,3.01,1.47,0.07,0,0,0,6.54,1.03,1.54,40,0
20,20,5,3,0,1.67,0.67,40,0,0,22.9,0,0,84.8,244.7,25.3,89.4,24.3,86.3,3.67,4.67,78.6,0,0.67,6,0.33,0,7.33,0.67,0.33,0,0.33,1,0.33,0,0,0,0,1.33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2.33,1.33,0.33,2,0,1,1.67,60,0.67,0.67,0,1.33,0.67,0,74.3,1.67,13.7,44,17.3,0.67,3,1,33.3,1.67,55.6,45.7,250.7,2,2,0.33,2.33,0.67,58.3,4,0.33,0,0,1,1.67,0,0,0,0,5.33,0.67,0.67,50,0
2.5,25,8,2.1,0,1.43,0.95,66.7,0,0,21.9,0,0,66.3,128.6,12.4,83.9,14.8,71,2.86,6.19,46.2,0,1.43,3.81,0.48,0,6.19,0.48,0.48,0,0.95,0.48,0,0,0,0,0.48,1.9,2.38,2.38,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0.95,1.43,0.95,0.95,1.43,3.81,37.5,2.38,1.9,0,1.43,2.38,0,54.3,4.29,13.8,25.2,15.2,2.86,1.43,0.48,33.3,0.48,33.3,32.9,191,0.95,0.95,0.48,1.43,1.9,32.4,1.9,0,0,0,2.38,0.48,0,0,0,0,3.33,2.38,1.43,62.5,0
2.5,20,1,0.2,0,0,0,0,0,0,0,0,0,50,45,5,50,5,100,0,5,0,0,0,0,0,0,5,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,10,5,0,0,0,0,0,0,15,30,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,18,10.2,1,1.57,0.39,25,0.06,0.25,21.8,0,0,83.6,213.3,15.2,90.6,21.2,87.5,5.29,6.96,76.1,0,0.39,4.22,0.29,0,4.41,1.76,1.67,0,1.18,0.29,0.1,0,0,0,0.2,0.98,1.27,1.27,0,0,0,0,0,0,0,0,0,0,0,0,2.94,2.25,0.88,1.67,0.39,1.08,2.35,45.8,1.27,1.57,0.88,1.67,2.35,0,61,3.82,17.4,36.9,7.55,1.18,0.59,0.2,33.3,0.29,50,34.7,166.7,0.78,1.08,0.1,0.98,0.69,35.5,0.29,0.39,0,0,2.65,0.88,0,0,0,0,7.55,1.67,1.57,51.5,0.0980392156862745
100,20,20,17.1,5,0.94,0.47,50,0.31,0.63,16.8,0,0,87.7,219.6,27.1,91.9,24.9,88.5,7.66,9.06,84.5,0,1.87,7.08,1.23,0,8.3,3.04,1.23,0.94,1.29,1.05,0.47,0.64,0,0,0.18,0.76,3.92,3.39,0.29,0,0.12,0.06,0.06,0.47,0.47,0,0,0,0,0,1.93,1.11,0.76,0.82,0.35,0.64,1.93,33.3,1.29,1.4,0,0.64,0.41,0.06,75.4,0.64,7.43,43.3,25.5,2.46,2.57,1.58,61.4,0.94,36.4,53.3,306.5,2.75,3.74,0.58,1.58,1.23,59.7,3.74,0.12,0,0,0.41,1.93,0.18,0,0,0,6.26,0.06,0.12,33.3,0.292397660818713
4,23,8,2.4,0,1.67,0,0,0,0,25.2,0,0,80.2,120.8,18.3,91.7,12.9,74.2,3.33,4.17,80,0,0.42,2.08,0.42,0,2.5,1.25,0,0,0,0.83,1.25,0,0,0,0,1.25,1.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0.83,0.42,1.25,0,0.83,2.5,33.3,1.67,2.5,0.83,1.25,1.25,0.42,53.8,3.33,15.8,29.2,9.58,0.83,2.08,0.83,40,1.25,60,30.4,172.5,1.67,1.67,0,0.83,2.08,36.3,1.67,0,0,0,1.25,1.25,0,0,0,0,3.75,0,2.92,0,0
5,28,15,7.7,0,0.52,0.26,50,0,0,18,0,0,85.9,201.8,20,91.1,19.5,91.3,6.36,9.35,68.1,0,1.04,4.42,0.39,0,4.29,2.86,2.34,0,0.91,0.65,0.26,0.13,0.13,0,0.26,0.39,1.82,1.43,0.13,0.13,0,0,0.13,0,0,0,0,0,0,0,2.73,1.56,1.17,1.3,0.26,0.65,1.69,38.5,1.04,1.95,1.04,1.17,1.56,0,63.2,2.86,17.4,38.7,8.05,0.52,1.3,0.78,60,0.39,30,33.6,145.2,0.65,1.3,0.13,1.04,0.91,41,0.78,0.39,0,0,1.3,1.17,0,0,0.13,0,5.32,1.56,1.04,60,0
40,29,15,9.7,1,0.82,0.31,37.5,0.13,0.33,25.9,0,0,80.8,289.1,26.2,89.4,20.8,83.7,6.08,9.48,64.1,0.21,2.16,7.22,2.47,0.41,7.84,3.92,1.96,0.72,1.34,2.78,1.03,0.62,0.21,0,0.72,1.13,4.02,3.4,0.41,0,0,0.21,0,0.31,0.31,0,0,0,0,0,1.24,0.41,0.31,0.93,0,0.62,1.13,54.5,0.52,1.24,0.31,0.31,0.21,0,71.9,0.21,9.38,43,19.8,0.93,1.44,0.72,50,0.52,35.7,47.4,226.4,2.58,1.65,0.21,1.65,0.93,57.2,2.99,0.21,0,0,1.44,2.27,0,0,0,0,5.05,0.31,0.72,30,0.103092783505155
4,26,20,18.9,0,0.9,0.16,17.6,0,0,21.8,0,0,88.5,193.1,16.7,92.4,21.2,89.8,3.7,4.6,80.5,0.05,0.74,5.29,0.37,0.11,5.98,0.21,0.21,0.11,0.53,0.21,0,0,0,0,0.11,0.58,2.28,2.06,0,0.11,0.05,0.05,0,0.21,0.21,0,0,0,0,0,1.27,0.85,0.9,0.26,0.11,0.48,1.06,45,0.58,1.11,0.42,1.9,1.53,0,56.7,4.29,17.1,32.7,8.41,0.63,2.38,1.48,62.2,0.63,26.7,45,293.9,2.33,1.8,0.16,1.32,1.06,39.4,1.16,0.21,0,0,1.64,1.85,0,0,0,0,7.88,0.37,0.69,35,0
5,22,17,12.7,1,0.71,0.39,55.6,0.11,0.2,20.9,0.08,0,78.3,249.5,16.4,87.8,21.3,85.9,5.51,8.82,62.5,0,0.55,2.91,0.16,0,4.09,1.89,1.81,0.16,0.71,0.31,0.08,0,0,0,0.47,1.18,2.05,1.81,0.08,0,0.08,0,0.08,0,0,0,0,0,0,0,3.31,1.73,1.73,1.26,0.31,1.57,3.23,48.8,1.65,1.26,0.39,1.73,2.2,0.08,64.7,3.62,22.6,37.2,5.51,0.55,0.71,0.16,22.2,0.55,77.8,33.5,127.3,0.31,0.24,0,1.42,0.55,40,1.18,0.24,0,0,2.44,1.65,0.24,0,0,0,7.17,1.89,0.71,72.7,0.078740157480315
7.5,27,18,12.4,1,0.97,0.16,16.7,0.08,0.5,15.5,0,0,84.4,186.8,18.2,89.3,17.8,86,2.98,3.87,77.1,0,1.21,4.6,0.56,0,6.53,1.21,0.97,0,0.73,0.4,0.16,0,0,0,0.08,0.97,3.23,2.66,0,0.24,0.16,0.08,0.08,0,0,0,0,0,0,0,3.06,1.85,1.13,1.85,0.08,1.61,2.98,54.1,1.37,1.29,0.08,1.37,0.48,0,56.4,1.05,8.31,34.3,14.3,2.1,1.85,0.97,52.2,0.73,39.1,31,164.4,1.05,1.45,0.16,1.13,1.29,36.9,2.34,0.16,0,0,1.94,1.05,0.16,0,0,0,6.53,1.05,1.85,36.1,0.0806451612903226
12,28,16,6,1,1.67,0.83,50,0.1,0.2,19.5,0,0,74.6,117.2,21.8,85.1,14.8,75.3,1.5,3.17,47.4,0.17,0.17,2.17,0.5,0,3.33,3.33,0.33,0,0.17,1.67,2.83,0,0,0,0.17,1,1.67,1.33,0,0,0.33,0,0,0.33,0.33,0,0,0,0,0,4.17,2.5,1.5,2,0.67,2,3.33,60,1.33,2.5,0.33,1.5,2.17,0,62.8,3.17,15,31.8,16.3,2.17,1.67,1.33,80,0.33,20,26.5,128.2,1.33,1.17,0.5,1.67,0.33,38.3,5.83,1.17,0,0,4,0.33,0.17,0,0.17,0,4.83,4.17,1.67,71.4,0.166666666666667
16,29,20,19.7,2,1.02,0.25,25,0.1,0.4,24.1,0,0,70.5,247.3,11.5,84,16.6,81.4,5.03,10.9,46.3,0.05,2.13,4.52,1.52,0.2,6.8,7.46,3.1,0.46,0.56,5.43,0.41,3.25,1.52,0.15,0.25,1.07,4.31,2.64,1.32,0.2,0.1,0,0.05,0.25,0.2,0.05,0,0,0,0,1.93,1.07,0.36,1.07,0.51,0.71,1.37,51.9,0.66,0.76,0,0.71,0.66,0,52.8,0.96,6.95,29.5,17.6,0.96,3.5,1.37,39.1,1.62,46.4,30.9,237.6,3.45,2.79,0.25,1.02,0.56,32.6,2.03,0.1,0,0,0.76,2.34,0.05,0,0,0,5.43,0.15,0.25,37.5,0.101522842639594
15,33,17,13.5,2,1.26,0.44,35.3,0.12,0.33,25.5,0.15,0,90.9,626.8,38.8,97.4,41.1,95,12.5,17.3,72.5,0.15,2.15,15.4,1.19,0.44,12.7,9.93,5.26,0.15,2.15,5.78,0.59,4.07,1.41,0.07,0.59,0.37,4.67,2.96,1.48,0,0.07,0.07,0.07,0.22,0.15,0.07,0,0,0,0,2.07,1.33,0.59,1.48,0,1.04,2.3,45.2,1.26,1.26,0.15,1.04,0.37,0,108.3,2.22,20.7,66.2,22.1,0.67,0.81,0.15,18.2,0.44,54.5,71.6,318.8,2.07,1.33,0.15,0.37,0.52,84.3,1.41,0.15,0.07,0.07,1.11,1.48,0,0,0,0,6.67,0.37,0.3,55.6,0.148148148148148
3.5,28,19,8.8,1,1.82,0.8,43.8,0.06,0.14,26.2,0.23,0,80.1,260.7,21.7,88.8,23.6,86.1,8.98,13.5,66.4,0.23,1.48,6.93,0.68,0.11,6.59,5.8,2.84,0,1.36,3.64,0.45,2.05,0.68,0.11,0.57,1.25,3.07,2.39,0.45,0,0,0.23,0,0.34,0.34,0,0,0,0,0,2.16,1.36,0.68,1.14,0.34,1.02,2.39,42.9,1.36,0.8,0.11,1.36,0.45,0.11,76.9,0.8,10.6,46.9,20.1,1.7,1.59,0.57,35.7,1.02,64.3,47.4,192.4,1.14,0.91,0.23,2.16,1.93,53.2,3.18,0.11,0,0,1.48,1.36,0,0,0,0,7.27,0.34,0.91,27.3,0.113636363636364
9,31,18,15,2,0.93,0.33,35.7,0.14,0.4,13.8,0,0,86,269.2,27.5,91,24.3,87.6,4.93,6.73,73.3,0.07,0.67,5.4,0.6,0.07,7.07,1.8,1.8,0.4,0.67,0.13,0,0,0,0,0.27,0.67,1.93,1.73,0.07,0.13,0,0,0,0.27,0.27,0,0,0,0,0,1.47,0.93,0.67,0.73,0.07,0.47,1.4,33.3,0.93,1.13,0.33,0.6,0.8,0,73.4,1.27,11.1,49.6,13.3,1.53,2.07,1.2,58.1,0.67,32.3,45.5,214.1,1.67,1.2,0.27,1,1,58.5,1.93,0.27,0.07,0,1.2,1.47,0.07,0,0,0,5.6,1.13,0.87,56.7,0.133333333333333
3,19,1,0.4,0,0,0,0,0,0,0,0,0,91.7,92.5,17.5,87.5,7.5,100,0,0,0,0,0,2.5,2.5,0,7.5,2.5,2.5,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,37.5,0,0,25,12.5,0,2.5,0,0,2.5,100,27.5,42.5,0,0,0,0,0,32.5,10,2.5,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0
10,25,16,8.6,2,2.21,0.93,42.1,0.11,0.25,16.6,0,0,77.8,119,15.9,89,12.1,78.8,2.44,4.19,58.3,0.23,1.05,3.14,0.81,0.12,4.53,0.58,0.12,0.35,0.47,1.86,0,0,0,0,0.23,0.47,2.21,1.74,0,0,0.12,0.12,0.23,0.35,0.23,0,0,0,0,0.12,2.56,0.93,1.05,1.28,0.23,0.58,1.28,45.5,0.7,1.4,0.12,0.23,0.93,0,50.8,1.28,6.98,26.6,17.6,3.37,1.51,0.58,38.5,0.7,46.2,30.8,144.2,1.74,1.4,0.35,2.33,1.98,37.6,5.47,0.23,0,0,3.37,2.09,0.12,0,0,0,4.19,1.98,2.91,40.5,0.232558139534884
