"value","age","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PKatt","PasTotCmp.","PasTotDist","PasTotPrgDist","PasShoCmp","PasShoCmp.","PasMedCmp","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasAtt","PasLive","PasDead","PasFK","TB","Sw","PasCrs","TI","CK","CkIn","CkOut","CkStr","PasOff","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Blocks","BlkSh","BlkPass","Int","Tkl.Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","ToAtt","ToSuc","ToSuc.","ToTkl","ToTkl.","Carries","CarTotDist","CarPrgDist","CarProg","Car3rd","CPA","CarMis","CarDis","Rec","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","G.MP"
15,24,19.9,0,0.9,0.3,33.3,0,0,29.2,0,0,0,80.2,744.7,229,22.5,91,19,83.6,2.96,6.03,49.2,0.1,0.75,3.92,0.65,0.5,4.32,56.7,46,10.5,0.45,0,0.2,4.32,10.1,0,0,0,0,0.15,1.66,1.96,1.26,0.25,0.1,0.05,0.1,0.2,0.3,0.15,0.05,0.05,0,0.05,0,1.91,1.16,1.26,0.4,0.25,1.36,2.31,58.7,0.95,1.01,0.1,0.9,1.31,3.22,1.41,0,66.5,2.46,15.7,30.7,21,0.8,1.71,0.6,35.3,0.9,52.9,38.3,294.4,195.8,5.98,4.47,0.4,1.21,0.3,39.9,4.97,0,0,0,0.65,0.65,0.15,4.32,0,0.1,0,5.68,0.2,0.55,26.7,0
5,23,6.3,2,0.32,0.32,100,1,1,9.5,0,0,0,65.5,359,167.8,10.8,90.7,8.57,60.7,1.75,4.6,37.9,0,0.16,1.9,0.16,0.16,2.7,32.2,28.1,4.13,0.32,0,0.16,0.79,3.81,0,0,0,0,0,0.63,0.63,0.48,0.16,0,0,0,0,0.16,0.16,0,0,0,0,0,2.22,1.43,1.43,0.79,0,1.27,2.22,57.1,0.95,0.95,0.48,0.48,1.43,3.65,2.7,0,42.4,3.33,16.3,22.2,4.13,0.63,0.79,0.16,20,0.48,60,16.8,64,25.9,0.48,0.16,0,0.63,0.32,22.5,1.43,0.32,0.16,0,1.43,1.11,0,0.79,0,0,0,3.81,2.22,2.22,50,0.317460317460317
5,32,15.9,0,0.44,0,0,0,0,10,0,0,0,87.8,827.9,309.6,15.4,95.7,24,93.6,3.9,6.98,55.9,0,0.19,1.95,0.06,0,2.01,49.7,47.5,2.08,2.01,0.06,0.31,0.13,0.06,0,0,0,0,0.13,0.19,0.5,0.5,0,0,0,0,0,0.06,0.06,0,0,0,0,0,1.64,1.19,1.19,0.44,0,0.94,1.19,78.9,0.25,1.19,0.57,0.63,2.01,3.65,4.15,0.06,59.8,6.86,33.3,25.3,1.7,0.88,0.06,0,0,0,0,31.4,121.5,56.5,0.13,0.19,0,0.5,0.06,38.7,0.13,0.13,0.13,0,0.75,0.75,0.06,0.13,0,0,0,4.03,2.26,0.94,70.6,0
10,31,18.1,1,0.99,0.33,33.3,0.06,0.17,17.8,0,0,0,84.9,1048.7,320.7,24.3,90.2,29.8,87.6,4.59,7.24,63.4,0.11,0.77,5.3,1.44,0.5,6.13,70.1,62.1,7.9,1.27,0.11,0.39,2.21,6.63,0,0,0,0,0.11,0.99,2.21,1.99,0,0,0.17,0,0.06,0.39,0.39,0,0,0,0,0,1.6,1.05,0.88,0.66,0.06,0.83,1.6,51.7,0.77,1.27,0.28,0.99,1.38,2.98,2.54,0,79.6,3.15,16.3,42.7,20.9,2.04,0.55,0.11,20,0.44,80,58.1,298.8,139.3,2.38,2.71,0.39,1.05,0.33,53.9,5.86,0.22,0,0,1.1,0.33,0.11,2.21,0,0.06,0,5.69,1.27,0.77,62.2,0.0552486187845304
8,28,1.6,0,0,0,0,0,0,0,0,0,0,80.2,716.3,261.9,30,92.3,13.1,84,3.13,5,62.5,0,0.63,6.25,2.5,0,8.13,60,51.3,8.13,0.63,0.63,0,1.88,7.5,0,0,0,0,0.63,1.88,3.13,3.13,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,1.25,0,1.25,1.88,66.7,0.63,1.25,0,1.25,1.88,3.13,1.25,0,66.9,0.63,10.6,31.3,25.6,3.13,2.5,1.88,75,0.63,25,33.8,169.4,99.4,1.25,1.88,0.63,0.63,0,41.3,3.75,0,0,0,1.25,0,0,1.88,0,0,0,6.25,1.88,0,100,0
18,26,14,1,0.29,0.07,25,0.25,1,18.2,0,0,0,86.9,883.1,311.5,14.9,89.3,26.9,93.3,3.79,6.43,58.9,0.07,0.14,2,0.29,0.07,3.36,52.7,50.1,2.5,1.21,0,0.14,0.21,1.29,0,0,0,0,0.07,0.43,0.43,0.36,0.07,0,0,0,0,0.07,0.07,0,0,0,0,0,1.43,0.86,1,0.43,0,0.86,1.07,80,0.21,1,0.79,0.21,0.79,2.21,4.07,0,61.7,6.14,29.1,29.7,3,0.5,0.07,0.07,100,0,0,37.4,184.1,98.4,0.43,0.21,0.07,0.21,0.07,39.6,0.29,0.36,0,0,1.64,0.5,0,0.21,0,0,0,4.93,2,1.57,56,0.0714285714285714
3,30,12.8,0,0.7,0.08,11.1,0,0,26.7,0,0,0,77.5,730.1,245.6,21.7,86.6,18.6,79.3,2.89,5.63,51.4,0.08,0.7,3.91,0.47,0.31,4.45,57,47.1,9.69,1.09,0,0.31,2.81,8.44,0.16,0,0.08,0,0.16,1.09,1.88,1.48,0.23,0.08,0,0.08,0,0.23,0.16,0.08,0,0,0,0,1.48,1.02,1.17,0.31,0,0.63,1.09,57.1,0.47,0.94,0.16,0.78,1.02,2.5,2.19,0.08,66.8,2.81,18.3,32.6,17,1.02,1.48,0.86,57.9,0.47,31.6,36.8,199.4,116.2,2.89,1.72,0.47,1.25,0.23,36.2,4.3,0.08,0,0,1.09,0.39,0.08,2.81,0,0,0,8.28,1.25,0.63,66.7,0
8,32,9,0,0.78,0.11,14.3,0,0,15.8,0.22,0,0,85,991.9,369.2,15.8,89.3,23.7,90.3,7.56,10.8,70.1,0,0.44,4.22,0.22,0,4.44,56.3,52.6,3.56,2.89,0,2.33,0.22,0.11,0,0,0,0,0.22,0.33,1,0.67,0,0,0.33,0,0,0.11,0.11,0,0,0,0,0,0.89,0.33,0.67,0.22,0,0.22,0.44,50,0.22,1,0.56,0.44,1.56,2.44,3.44,0,66.2,8,31.2,32.3,2.78,1,0,0,0,0,0,38.1,246,173.6,0.67,1,0,0.44,0.22,39.1,0.22,0.11,0,0,0.89,1,0.22,0.22,0,0,0,6.33,1.78,0.89,66.7,0
4,31,19.9,0,0.25,0.05,20,0,0,17.5,0,0,0,77.2,713.9,281.1,21.7,90.9,17.1,78.8,3.52,7.24,48.6,0,1.01,3.07,1.01,0.45,4.27,56.1,43.8,11.8,0.9,0,0.1,3.42,10.9,0,0,0,0,0.5,1.06,2.11,1.76,0.25,0,0.05,0.05,0,0,0,0,0,0,0,0,1.01,0.65,0.55,0.45,0,0.3,0.5,60,0.2,0.5,0.1,0.4,0.75,1.76,2.31,0.05,63.2,2.66,14.2,28.1,21,0.9,0.8,0.2,25,0.3,37.5,32.6,167.6,96.4,2.51,1.81,0.1,0.55,0.25,36.1,4.32,0.15,0,0,1.06,1.01,0.25,3.42,0,0,0.1,4.12,0.9,0.8,52.9,0
12,28,19.1,0,0.37,0,0,0,0,25.1,0,0,0,76.6,738.7,218.5,21.6,88.2,19.3,81.3,3.09,7.12,43.4,0.05,1.31,1.73,1.31,0.63,3.14,58.5,46.6,11.6,1.1,0,0.63,4.29,10.2,0.26,0.05,0.16,0,0.37,1.36,2.3,1.88,0.26,0.05,0,0.05,0.05,0.05,0.05,0,0,0,0,0,2.98,2.09,1.73,1.1,0.16,1.05,2.25,46.5,1.2,1.57,0.05,1.52,0.94,3.93,1.41,0,72.5,1.78,19.8,31.4,22.1,1.1,4.55,1.73,37.9,2.15,47.1,42.4,265.1,147.9,3.77,3.14,0.63,1.94,1.47,43.7,7.02,0.1,0,0,1.52,2.09,0.21,4.29,0,0,0,5.81,0.89,0.68,56.7,0
3,37,11.9,0,0.42,0.17,40,0,0,25.1,0,0,0,77.4,944.3,251.7,25,90.9,21.6,79.3,5.46,9.33,58.6,0,1.34,3.11,2.35,0.84,5.21,68.7,58.7,9.83,1.01,0,1.01,7.06,8.82,0,0,0,0,0.25,2.18,3.11,2.86,0.08,0,0,0.17,0,0.42,0.25,0.08,0,0,0.08,0,1.01,0.59,0.25,0.17,0.59,0.67,1.26,53.3,0.59,0.67,0.34,0.34,0.42,1.43,1.68,0.08,76.1,2.1,15.5,25.6,35.4,1.26,0.92,0.42,45.5,0.42,45.5,45.9,237.1,99.4,1.93,1.76,0.34,1.18,0.34,52.2,11.8,0.25,0,0,0.34,1.68,0.42,7.06,0,0,0.08,5.71,0.42,0.84,33.3,0
50,29,14.2,2,1.2,0.21,17.6,0.12,0.67,22.7,0,0,0,84.9,1174.2,292,40.7,93.1,25.6,84.4,5.7,8.66,65.9,0.07,0.85,5.63,2.54,0.63,7.46,85.9,78.9,6.9,1.41,0.14,0.99,3.17,5.49,0,0,0,0,0.14,1.06,2.75,2.11,0,0.14,0.35,0.07,0.07,0.42,0.35,0,0.07,0,0,0,2.04,1.48,1.13,0.63,0.28,1.2,1.69,70.8,0.49,0.49,0.07,0.42,1.34,3.38,0.63,0.07,96,1.41,15.8,48.3,32.5,3.31,4.08,1.97,48.3,1.62,39.7,58.9,341,196.5,5,2.75,1.48,1.27,0.99,71.8,8.8,0.21,0.07,0,0.92,1.27,0.28,3.17,0,0.14,0,5.63,1.9,0.77,71.1,0.140845070422535
3,31,5.1,0,0.2,0.2,100,0,0,20.5,0,0,0,82,779,198,19.4,91.7,19.8,91,4.51,7.06,63.9,0,1.57,2.55,0.59,0.59,2.94,54.5,44.9,9.41,0.98,0,0,6.08,7.84,0.59,0.2,0.39,0,0.2,2.35,2.16,1.76,0.39,0,0,0,0,0,0,0,0,0,0,0,2.35,1.76,1.57,0.59,0.2,0.98,1.37,71.4,0.39,0.78,0.39,0.39,0.39,2.75,1.18,0.2,62.2,1.76,18.6,23.9,20.2,0.78,1.96,0.78,40,0.98,50,38.4,263.7,122.7,4.31,2.16,0.59,1.37,0.98,37.5,5.69,0,0,0,0.59,1.96,0,6.08,0,0,0,7.25,0.78,0.39,66.7,0
8,22,7.5,0,0.13,0,0,0,0,9.5,0,0,0,90.8,1177.5,345.3,18.7,95.2,34.5,95.9,6.67,9.33,71.4,0,0,3.87,0,0,3.33,66.7,63.7,2.67,1.73,0,0.27,0,0.27,0,0,0,0,0.27,0.4,0.27,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,1.2,0.93,0.8,0.4,0,0.27,0.53,50,0.27,0.4,0.4,0,0.8,2,2.67,0,72.5,8.53,33.1,38.5,1.07,0.13,0.27,0.13,50,0.13,50,46.4,238.9,146.3,0.67,0.4,0,0.13,0.13,53.6,0,0.27,0,0,1.2,0.67,0,0,0,0.13,0,4.13,1.73,2.27,43.3,0
5,23,4,0,0.5,0,0,0,0,11.4,0,0,0,85.9,1141,424.5,20.8,93.3,33.3,93,5.25,10,52.5,0,0.25,3.75,0.5,0,5,69.3,67,2.25,1.5,0.25,1.5,0.25,0.25,0,0,0,0,0,0.5,1,0.75,0,0,0.25,0,0,0,0,0,0,0,0,0,1.5,1,1,0.5,0,0.25,0.5,50,0.25,1.5,1.25,0.25,1.25,2.75,7,0,82,10,41.8,38.8,1.5,0.75,0,0,0,0,0,50.5,299,221.8,1.5,0.25,0,0.5,0,55.5,0,0.25,0,0,1,0.25,0,0.25,0,0.25,0,4.25,2.25,1,69.2,0
30,28,16.5,1,0.79,0.36,46.2,0.08,0.17,26.2,0.12,0,0.06,75.8,827.3,298.1,24.4,94.1,17.3,76.6,5.33,11.3,47.1,0.12,2.24,3.82,1.45,1.09,4.48,63.5,48.8,14.2,2.55,0.12,0.67,8.12,9.45,2.24,0.36,1.52,0.06,0.42,1.33,3.64,2.36,0.73,0.24,0.18,0.12,0,0.3,0.12,0.06,0,0.06,0.06,0,2.55,1.52,2,0.42,0.12,1.45,2.18,66.7,0.73,1.09,0.42,0.67,0.85,3.39,1.58,0,71.8,2.91,21,26.1,25.5,1.39,0.79,0.61,76.9,0.18,23.1,36.4,190.5,121.2,2.79,2.55,0.18,0.67,0.24,41.7,6.36,0.18,0,0,0.48,0.67,0.36,8.12,0.06,0,0,5.09,0.97,0.48,66.7,0.0606060606060606
35,28,11.2,0,1.25,0.36,28.6,0,0,15.1,0,0,0,86.1,829.1,295.7,14.2,90.9,21.9,91.1,5.18,7.77,66.7,0,0.18,2.59,0,0,2.59,48.7,46.1,2.59,2.32,0,1.07,0,0.18,0,0,0,0,0,0.36,0.8,0.63,0,0,0.18,0,0,0.09,0.09,0,0,0,0,0,1.52,0.89,1.16,0.36,0,0.8,1.16,69.2,0.36,1.43,0.8,0.63,1.43,2.95,4.64,0.09,60.4,9.29,32.9,25,2.5,1.52,0.09,0,0,0.09,100,31.3,120.6,60.7,0.18,0.27,0,0.36,0,37,0.27,0.45,0,0,0.8,0.36,0,0,0,0.09,0,6.25,2.14,1.16,64.9,0
6,28,20,2,0.45,0.1,22.2,0.22,1,15.6,0,0,0,85.4,883.9,275.7,11.6,86.9,26.7,92.2,4.85,7.45,65.1,0,0.05,2.3,0.2,0,2.85,50.8,49.4,1.25,1.15,0,0.15,0,0.1,0,0,0,0,0.15,0.45,0.3,0.25,0,0,0,0,0.05,0,0,0,0,0,0,0,1.7,1.05,1.05,0.6,0.05,0.5,0.75,66.7,0.25,0.9,0.45,0.45,0.8,2.5,4.2,0,60.3,8.7,31.6,27.8,1.35,0.45,0.25,0.15,60,0.05,20,38.2,185.3,99.1,0.5,0.2,0,0.45,0.3,38.4,0.1,0.15,0,0,0.6,0.35,0,0,0,0.05,0,6.5,1.75,1.85,48.6,0.1
25,25,7,1,0.43,0.29,66.7,0.33,0.5,12.5,0,0,0,87.3,878.1,332.3,22.6,93.5,22.7,90.9,4.14,6.14,67.4,0,0.71,4.86,0.71,0,4.86,57.3,47.7,9.14,1.71,0.29,0.86,0.43,7.43,0,0,0,0,0.43,0.71,1.29,1.29,0,0,0,0,0,0,0,0,0,0,0,0,3.29,1.86,2,1,0.29,1.86,2.43,76.5,0.57,1.29,0.43,0.86,1.29,4.57,3.14,0,70,3.86,20.3,38,12.9,1,2.86,0.86,30,1.57,55,36.7,269.4,150,2.86,2.57,0.14,1.14,0.86,42,0.86,0.29,0,0,1.71,0.57,0,0.43,0,0.14,0,6.29,0.86,0.43,66.7,0.142857142857143
9,23,3,0,0.67,0.33,50,0,0,19.6,0,0,0,69.4,554.7,239.7,20,85.7,10.7,72.7,3.33,9,37,0,1.33,3,1.67,0.33,4.67,52.3,43.7,8.67,1.33,0,0.67,3.67,7,0.33,0,0.33,0,0,2.67,2.67,2.33,0.33,0,0,0,0,0,0,0,0,0,0,0,2.33,1.67,1.33,1,0,1.33,1.33,100,0,1,0.33,0.67,1,3.33,1.67,0,60.3,2.67,12.3,28.7,19.3,3,0.67,0.67,100,0,0,28.7,92,50.7,1.33,1,0,1,1,37,6.67,0,0,0,1.33,0.67,0,3.67,0,0,0,4.33,0.67,0.67,50,0
60,24,11.5,0,0.52,0,0,0,0,14.2,0,0,0,89.3,1239.7,390,32.5,92.6,31.1,93.2,6.26,8.26,75.8,0.17,0.52,8.87,0.61,0.17,6.87,79.7,73.3,6.09,1.91,0.26,0.61,1.04,4.17,0,0,0,0,0.35,0.61,1.57,1.57,0,0,0,0,0,0.35,0.35,0,0,0,0,0,1.3,0.87,0.7,0.43,0.17,0.7,0.78,88.9,0.09,1.13,0.43,0.7,0.78,2.09,1.39,0,87.2,3.91,24.8,49.3,13.7,1.57,0.78,0.35,44.4,0.26,33.3,57.3,302.6,191.9,2.35,2.26,0.17,0.7,0.61,63.7,2,0,0,0,0.96,0.43,0.09,1.04,0,0,0.09,6.17,1.3,0.78,62.5,0
3,19,5.4,0,0.19,0,0,0,0,11.7,0,0,0,80.9,518,199.8,8.7,92.2,12.6,89.5,3.89,7.04,55.3,0,0,2.04,0.19,0,1.85,32,29.4,2.59,2.41,0,0.74,0.19,0.19,0,0,0,0,0,0.37,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.93,0.93,0,0,0.56,1.11,50,0.56,3.15,1.85,1.3,2.04,2.96,3.7,0,43,10,26.5,16.1,0.56,0.19,0.37,0.19,50,0.19,50,23,125.9,73.7,1.11,0.37,0,0.56,0,24.8,0.19,0.93,0,0,1.3,0.56,0,0.19,0,0.19,0,3.52,0.93,1.3,41.7,0
25,26,5.2,0,0.96,0.38,40,0,0,25.2,0,0,0,73.8,794.6,254,17.9,85.3,20.4,80.3,4.04,8.46,47.7,0,0.58,4.62,1.15,0.19,4.81,58.1,50.2,7.31,0.58,0.19,0.19,2.12,6.73,0,0,0,0,0.58,0.96,1.73,1.54,0,0,0.19,0,0,0.38,0.38,0,0,0,0,0,1.73,0.77,0.96,0.58,0.19,0.77,0.96,80,0.19,0.96,0.19,0.77,1.73,3.46,2.69,0,68.8,2.69,15.2,31.3,22.5,1.15,0.38,0,0,0.19,50,37.5,219,104,2.88,2.12,0,0.96,0,40.4,4.04,0,0,0,0.77,0.77,0,2.12,0,0,0,5,0.38,1.92,16.7,0
12,23,5,0,0.2,0,0,0,0,10,0,0,0,89.6,1250.2,432.6,27.4,96.5,35.2,93.6,5.8,8.4,69,0,0.2,5.4,0,0,4.4,76.8,76,0.4,0.4,0,0,0.4,0,0,0,0,0,0.4,1.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.2,0.8,0.4,0.2,1,1.4,71.4,0.4,1,0.2,0.8,1.2,2.6,3.4,0,85.6,5.6,39.6,43.6,3.2,0.2,0.4,0.2,50,0,0,60.2,259.8,128.4,0.8,0.6,0,0,0.2,61.8,0.4,0,0,0,0.6,0.2,0,0.4,0,0,0,7.6,1.6,2,44.4,0
6,32,4.7,2,1.49,0.64,42.9,0.29,0.67,20.6,0,0,0,87.2,979.8,219.1,37.2,93.1,22.1,86.7,3.83,5.53,69.2,0,1.91,2.55,2.98,0.64,4.47,74.7,65.3,9.36,1.28,0.21,0.21,3.4,8.09,0,0,0,0,0,0.85,3.62,2.98,0.21,0,0,0.43,0,0,0,0,0,0,0,0,2.77,1.49,1.28,1.28,0.21,1.28,1.28,100,0,1.06,0,1.06,0.85,3.62,0.85,0,83.8,1.49,17.2,33.2,33.6,4.04,0.85,0.21,25,0.21,25,51.3,236,131.9,2.77,1.28,1.28,1.06,0.21,59.8,11.1,0.21,0,0,1.7,1.06,0.43,3.4,0,0,0,5.11,0,0.85,0,0.425531914893617
6,27,4,0,0,0,0,0,0,0,0,0,0,87.2,760.8,308,22.5,92.8,21.3,93.4,2,4.75,42.1,0,0,4,0,0,3.25,52.8,51,1.5,1.25,0,0.75,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.25,0.25,0,0.25,0.25,100,0,0.75,0.75,0,1.25,1.75,3.25,0,61.8,6,28.8,31.8,1.25,0,0.25,0.25,100,0,0,36.5,201.3,103.5,0.25,0,0,2,0,45.8,0,0.5,0,0,1.25,1.5,0,0,0,0,0,3.5,1.5,1,60,0
8,32,10.9,2,1.47,0.37,25,0.13,0.5,26.5,0.09,0,0,73.9,874.2,327.3,22.1,89.3,17.2,77,6.42,13.3,48.3,0.09,1.93,2.39,2.2,1.1,4.77,62.9,50.3,12.6,2.57,0.28,0.92,7.61,8.07,1.93,0.46,1.1,0,0.09,0.73,3.03,2.11,0.64,0,0.28,0,0,0.18,0.18,0,0,0,0,0,3.3,1.74,1.93,1.01,0.37,1.83,2.57,71.4,0.73,1.01,0.46,0.55,1.47,4.77,1.28,0,74.4,3.49,20.1,32.1,22.9,1.65,2.11,0.64,30.4,1.1,52.2,40.4,189.2,98.4,2.02,1.56,0.28,1.56,1.38,43.9,4.68,0.46,0.09,0,1.65,1.65,0.09,7.61,0,0.09,0,7.52,1.19,0.92,56.5,0.18348623853211
3,32,6.9,1,0.43,0.14,33.3,0.33,1,12.4,0,0,0,91.2,1383.6,483.8,27.8,93.7,38.1,94.6,6.81,8.7,78.3,0,0.43,5.36,0.72,0.29,6.23,80.7,77.8,2.9,1.01,0.14,0.72,1.01,1.01,0.87,0.14,0.43,0,0,0.87,1.01,1.01,0,0,0,0,0,0.14,0.14,0,0,0,0,0,1.16,0.72,0.72,0.43,0,0.72,0.87,83.3,0.14,1.01,0.87,0.14,0.87,2.03,2.32,0,89.3,6.81,31.4,52.6,5.36,0.72,0.14,0.14,100,0,0,60,351.4,201.4,1.3,0.58,0,0.58,0.14,67.7,0.14,0.14,0,0,0.87,0.58,0,1.01,0,0.14,0,5.22,1.59,1.16,57.9,0.144927536231884
20,28,5.9,2,1.19,0.68,57.1,0.29,0.5,16.4,0,0,0,86,1107.5,402.4,14.1,91.2,29.3,95.1,7.8,12.2,63.9,0,0.51,2.71,0.17,0,3.73,60.3,56.8,3.39,2.37,0,1.36,0,1.02,0,0,0,0,0.17,0.17,1.36,1.02,0,0,0.34,0,0,0.17,0,0,0,0.17,0,0,0.34,0.17,0.17,0,0.17,0,0.34,0,0.34,1.69,0.85,0.85,0.68,1.02,4.41,0,69.8,8.98,34.7,32.2,3.39,1.69,0.17,0,0,0.17,100,36.1,147.6,65.9,0.17,0.34,0,0.51,0.17,44.6,0,0.85,0.34,0.34,1.36,0.51,0.17,0,0,0,0,6.27,2.37,1.36,63.6,0.338983050847458
4.5,27,17.8,0,0.06,0,0,0,0,37.9,0,0,0,80.6,623.7,259.5,12.9,90.9,14.9,87.7,4.21,7.7,54.7,0,0.11,2.08,0.11,0.06,1.91,40.1,37.6,2.25,1.91,0,0.9,0.28,0.34,0,0,0,0,0.22,0.62,0.17,0.11,0,0,0,0.06,0,0.06,0,0,0,0,0.06,0,0.96,0.67,0.62,0.34,0,0.51,0.67,75,0.17,1.57,0.62,0.96,0.96,1.91,3.93,0,48.1,6.18,26,21,1.63,0.06,0.06,0,0,0.06,100,26.3,121.6,61.1,0.39,0.34,0.06,0.17,0,28.1,0.11,0.39,0,0,1.07,0.22,0,0.28,0,0.06,0,3.71,0.9,0.34,72.7,0
5,24,6.7,0,0.15,0,0,0,0,19.8,0,0,0,80.1,933,298.2,11.2,84.3,21.2,89.9,8.81,13.6,64.8,0,0,1.79,0,0,2.09,52.4,50.6,1.79,0.9,0,0.15,0.3,0.15,0,0,0,0,0,0.3,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2.54,1.49,1.79,0.75,0,0.9,1.19,75,0.3,1.19,0.45,0.75,0.75,3.28,4.18,0,62.2,7.91,37.8,23.6,1.04,0.15,0,0,0,0,0,26.9,114.8,59.3,0.15,0,0.15,0.15,0,36.1,0.15,0.3,0,0,1.19,0.15,0,0.3,0,0,0,5.52,2.24,0.6,78.9,0
15,22,17,0,0.65,0.06,9.1,0,0,19.1,0,0,0,79.8,623,177.2,22.1,89.5,14.2,81.5,2.65,4.88,54.2,0.12,0.94,3,0.94,0.53,4,49.9,41.1,8.65,0.65,0.12,0,3.76,7.88,0.12,0,0,0,0.18,1.06,2.29,1.71,0.18,0.24,0.06,0.12,0,0.24,0.24,0,0,0,0,0,1.29,0.71,0.88,0.24,0.18,0.59,0.82,71.4,0.24,0.94,0.12,0.82,0.71,2,1.35,0.06,58.5,2.18,16.8,23.5,18.6,1.59,2.47,1,40.5,1.29,52.4,33.5,195.3,86.9,2.76,1.53,0.71,1.29,0.82,37.8,6.06,0.29,0,0,0.94,0.76,0,3.76,0,0,0,5.47,0.29,0.47,38.5,0
6,26,12.8,2,0.55,0.23,42.9,0.29,0.67,7.6,0,0,0,84.3,849.7,312.5,10.9,85.8,22.4,91.4,6.17,9.3,66.4,0,0.23,3.13,0.08,0,3.05,47.3,45.8,1.48,1.17,0,0.86,0,0,0,0,0,0,0.08,0.23,0.55,0.47,0,0,0.08,0,0,0,0,0,0,0,0,0,1.25,0.63,0.86,0.39,0,0.55,0.86,63.6,0.31,1.41,0.7,0.7,0.78,2.03,2.97,0.08,56.2,7.42,29.3,24.3,2.81,1.56,0.16,0,0,0.16,100,33.5,163.5,84.8,0.47,0.31,0,0.63,0.23,35.9,0.31,0.47,0.08,0.08,1.02,0.39,0.08,0,0,0,0,5.23,1.17,2.03,36.6,0.15625
3,28,9.9,0,0.81,0.1,12.5,0,0,18.9,0,0,0,77.1,574.3,244,18.2,89.1,13.9,82.1,2.63,6.26,41.9,0,0.3,2.12,0.51,0.2,3.13,46.4,35.5,10.7,0.3,0.2,0.1,2.02,10.4,0,0,0,0,0.2,0.91,1.82,1.11,0.3,0,0.3,0.1,0,0,0,0,0,0,0,0,2.22,1.21,1.41,0.3,0.51,1.41,2.63,53.8,1.21,1.52,0.2,1.31,1.72,3.94,2.12,0.1,58.6,4.04,18.3,22.7,17.9,1.31,1.72,0.61,35.3,1.11,64.7,23.1,98.7,41.3,1.21,0.61,0.2,1.31,0.91,26.8,3.74,0.2,0,0,2.12,1.21,0,2.02,0,0,0,4.95,1.82,0.71,72,0
50,25,15.3,0,0.59,0.07,11.1,0,0,20.3,0,0,0,72.4,669.7,268.9,24.6,90,14.5,67.9,3.07,7.12,43.1,0.07,1.18,2.75,1.5,0.52,4.12,59.7,49.1,10.6,0.65,0.26,0.07,4.25,9.54,0.39,0.26,0.13,0,0.07,1.63,3.27,3.07,0.13,0.07,0,0,0,0.26,0.26,0,0,0,0,0,2.09,1.37,1.24,0.65,0.2,1.18,2.29,51.4,1.11,1.11,0.2,0.92,0.46,2.55,2.03,0.07,69,2.42,21,25.8,22.4,1.5,1.37,0.59,42.9,0.65,47.6,34.3,159.3,98.9,2.68,1.5,0.2,1.11,0.2,41.2,7.45,0.2,0.07,0,0.65,0.46,0.07,4.25,0,0,0,4.84,0.98,1.24,44.1,0
4,31,17.8,2,1.29,0.34,26.1,0.09,0.33,24.8,0.17,0,0,92.9,868.8,278.2,22.2,95,24.8,95.3,2.92,3.99,73.2,0,0.11,4.27,0.06,0,3.71,55.1,52.5,2.42,1.91,0.06,0.22,0,0.11,0,0,0,0,0.11,0.11,0.73,0.56,0,0,0.11,0.06,0,0.06,0.06,0,0,0,0,0,1.29,1.07,0.73,0.51,0.06,0.62,0.96,64.7,0.34,1.52,1.18,0.34,0.73,2.02,3.88,0.06,65.4,7.47,28.7,31,5.9,0.62,0.06,0.06,100,0,0,38.5,198.3,114.7,0.96,1.29,0,0.67,0.06,45.9,0.22,0.28,0,0,0.67,0.79,0,0,0,0,0,3.31,1.46,0.62,70.3,0.112359550561798
