"value","age","Unnamed..4_level_0_90s","Expected_PSxG.SoT","Expected_.90","Launched_Cmp.","Passes_Launch.","Passes_AvgLen","Goal.Kicks_Launch.","Goal.Kicks_AvgLen","Crosses_Stp.","Sweeper_.OPA.90","Sweeper_AvgDist","GoalsGA.MP","GoalsFK.MP","GoalsPKA.MP","GoalsCK.MP","GoalsOG.MP","Expected_PSxG.MP","Expected_PSxG....MP","Launched_Cmp.MP","Launched_Att.MP","Passes_Att.MP","Passes_Thr.MP","Goal.Kicks_Att.MP","Crosses_Opp.MP","Crosses_Stp.MP","Sweeper_.OPA.MP"
4,30,8.5,0.24,0.71,29.3,30.2,31,48,40,2.5,1.33,16.2,0.705882352941177,0,0.117647058823529,0,0,1.10588235294118,0.635294117647059,3.17647058823529,10.8235294117647,26.4705882352941,4.94117647058824,5.88235294117647,14.2352941176471,0.352941176470588,1.17647058823529
0.7,29,1,0.34,-0.33,30.4,54.2,45.4,83.3,52.3,10.5,0,6,1,0,0,0,0,0.7,-0.3,7,23,24,4,12,19,2,0
7,31,27,0.27,-0.04,36.3,41,35.3,51.5,42.2,6.2,0.88,12.3,1.7037037037037,0,0.37037037037037,0.185185185185185,0,1.58888888888889,-0.0407407407407407,3.96296296296296,10.9259259259259,20.4074074074074,3.44444444444444,4.96296296296296,13.7037037037037,0.851851851851852,0.851851851851852
0.5,28,0.7,0.18,0.11,41.2,51.7,44,66.7,46,50,5.81,16.5,1.42857142857143,0,0,1.42857142857143,0,1.57142857142857,0.142857142857143,10,24.2857142857143,41.4285714285714,11.4285714285714,4.28571428571429,8.57142857142857,4.28571428571429,5.71428571428571
8,26,25,0.33,0.09,34.2,31.6,33,36.7,34.1,3.2,0.67,12.2,1.32,0,0,0.12,0.04,1.332,0.092,4.16,12.16,31.52,6,6,13.56,0.44,0.64
0.6,29,16,0.28,-0.29,34.6,37.6,33.2,54.4,42.3,4.4,0.67,12.5,1.375,0.0625,0.0625,0.125,0,1.10625,-0.26875,4.5625,13.1875,23.75,3.5,7.8125,15.6875,0.6875,0.625
45,28,9,0.24,-0.01,40.6,31,33.4,41.7,40.9,7.3,1.11,13.8,1.11111111111111,0,0.222222222222222,0.111111111111111,0,1.1,-0.0111111111111111,4.77777777777778,11.7777777777778,34.4444444444444,4.88888888888889,2.66666666666667,10.6666666666667,0.777777777777778,1.11111111111111
2,30,27,0.28,0.19,38.9,40.9,37.4,45,39.4,7.3,0.69,11.9,1.40740740740741,0,0.259259259259259,0.111111111111111,0,1.44444444444444,0.185185185185185,5.96296296296296,15.3333333333333,29.7037037037037,4.7037037037037,7.07407407407407,12.2592592592593,0.888888888888889,0.666666666666667
2.5,34,15.5,0.26,0.19,41,50.6,38.8,71.8,46.5,7.8,1.1,11.7,1.29032258064516,0,0.258064516129032,0.32258064516129,0.0645161290322581,1.40645161290323,0.180645161290323,6.58064516129032,16.0645161290323,20.3870967741935,4.32258064516129,8,20.6451612903226,1.61290322580645,1.03225806451613
4,28,23,0.27,0.35,47.8,46.2,39.5,71.4,53.7,6.8,1.45,14.8,1.04347826086957,0.0434782608695652,0.0869565217391304,0.0434782608695652,0,1.33478260869565,0.334782608695652,8.8695652173913,18.5652173913043,30.304347826087,4.65217391304348,6.39130434782609,16.6086956521739,1.1304347826087,1.39130434782609
20,31,24.2,0.25,0.06,32,34.3,33.4,72.5,52.8,7.1,2.24,19.3,0.743801652892562,0,0.0413223140495868,0.206611570247934,0,0.756198347107438,0.0537190082644628,3.38842975206612,10.5785123966942,19.3801652892562,6.28099173553719,5.41322314049587,12.2314049586777,0.867768595041322,2.14876033057851
4,33,24,0.31,-0.23,38.7,29.3,30.8,23.1,27.2,10.4,1.39,13.6,1.83333333333333,0.0416666666666667,0.0416666666666667,0.333333333333333,0.0416666666666667,1.49166666666667,-0.216666666666667,4.58333333333333,11.8333333333333,35.6666666666667,5.45833333333333,5.95833333333333,13.1666666666667,1.375,1.33333333333333
4,24,24,0.33,-0.37,36.2,40.1,34.8,66.7,51.3,7.9,2.35,18.9,1.875,0.0833333333333333,0.125,0.25,0,1.475,-0.358333333333333,5.75,15.875,28.7916666666667,5.16666666666667,6.5,13.125,1.04166666666667,2.25
1,33,1,0.03,0.03,57.1,25,33.4,0,10,0,0,10.8,0,0,0,0,0,0,0,4,7,28,4,2,9,0,0
14,28,23,0.24,0.22,36.1,23.2,30.7,50,39.3,6.1,1.05,15.2,0.956521739130435,0,0.173913043478261,0.0434782608695652,0.0434782608695652,1.03478260869565,0.208695652173913,3.17391304347826,8.78260869565217,26.6086956521739,4.04347826086957,5.21739130434783,10.6521739130435,0.652173913043478,1
3,31,14,0.32,0.19,39.8,32.4,33.1,59.8,47.7,8.6,1.57,15.3,1.42857142857143,0,0.142857142857143,0.142857142857143,0,1.62142857142857,0.192857142857143,5.85714285714286,14.7142857142857,29.2857142857143,5.21428571428571,8.71428571428571,17.3571428571429,1.5,1.57142857142857
